# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
22372 17.64270 1.27850 0.98807 0.05519 0.61978 0.22128 0.56
20981 18.77755 0.95383 0.88314 0.06495 0.40710 0.18464 0.40
6945 20.02412 0.95383 0.75748 0.05837 0.36781 0.15746 0.40
6913 17.54885 1.30350 0.99462 0.05251 0.61652 0.21969 0.55
7481 18.23716 1.05571 0.93747 0.06427 0.45944 0.22054 0.41
8426 19.48538 1.24543 0.80866 0.06334 0.41473 0.17789 0.38
20776 19.72408 1.05733 0.78448 0.06132 0.39161 0.16584 0.38
6599 17.56362 1.27745 0.99326 0.05272 0.63149 0.21864 0.57
10444 17.73781 1.14292 0.97999 0.05625 0.60207 0.23759 0.56
8734 19.55498 1.25693 0.80159 0.06320 0.41178 0.17238 0.39
9166 20.18761 0.73792 0.74759 0.05572 0.36094 0.15370 0.43
62113 19.07314 1.26179 0.85160 0.06543 0.45812 0.17960 0.43
24212 19.27400 1.13434 0.83060 0.06389 0.39878 0.17432 0.37
6147 20.00186 1.19517 0.75876 0.05890 0.37912 0.16361 0.38
62224 17.82984 1.19887 0.97370 0.05895 0.61715 0.23345 0.59
5530 19.97755 1.21874 0.76067 0.05924 0.39000 0.16919 0.37
16024 19.39633 1.25035 0.81787 0.06386 0.41663 0.18009 0.39
10682 20.02193 1.16204 0.75674 0.05846 0.37016 0.16027 0.37
15735 17.42471 1.29550 1.00180 0.04891 0.62144 0.21033 0.54
21759 19.37545 1.14558 0.81995 0.06352 0.40083 0.17644 0.38
16313 19.84806 1.28323 0.77238 0.06086 0.39992 0.16604 0.38
20900 20.02401 1.15493 0.75664 0.05847 0.36955 0.16003 0.37
7505 20.06352 1.02758 0.75353 0.05748 0.36581 0.15931 0.38
6381 17.60918 1.30712 0.99049 0.05456 0.60989 0.22402 0.54
25819 17.82715 1.30372 0.97497 0.06073 0.60523 0.21561 0.56
61885 19.93690 1.26042 0.76422 0.05971 0.39744 0.16614 0.37
15717 20.35264 1.17879 0.72886 0.05379 0.36962 0.15670 0.38
10635 13.21375 2.86288 1.04118 0.02419 0.63211 0.22801 0.48
21169 18.30759 1.30156 0.93235 0.06843 0.55469 0.20215 0.54
24033 19.42976 1.23880 0.81428 0.06367 0.40826 0.18000 0.39
23619 18.16960 1.30437 0.94587 0.06744 0.57284 0.20011 0.55
20763 19.94281 1.04762 0.76405 0.05913 0.37468 0.15976 0.37
22852 17.62052 1.30914 0.98972 0.05483 0.60510 0.22095 0.54
7729 20.19529 0.62258 0.74832 0.05615 0.35918 0.15295 0.44
7808 17.44307 1.31186 1.00097 0.04953 0.61836 0.20599 0.53
15603 19.54203 1.30332 0.80293 0.06328 0.41702 0.17917 0.40
8310 19.90212 1.25810 0.76743 0.06006 0.39643 0.16702 0.38
6742 19.93744 1.25424 0.76414 0.05974 0.39404 0.16453 0.37
22860 18.35800 1.31129 0.92677 0.06842 0.54961 0.19913 0.55
7527 18.80562 1.31081 0.87910 0.06621 0.50274 0.19686 0.50
7380 19.73266 1.29834 0.78368 0.06201 0.40611 0.17485 0.38
25557 20.21519 0.85291 0.74450 0.05566 0.35887 0.15569 0.42
15628 19.07264 1.31317 0.85160 0.06561 0.46876 0.19285 0.46
7998 19.63570 1.30485 0.79359 0.06246 0.40697 0.16885 0.39
23436 19.98628 0.66026 0.76185 0.05856 0.36809 0.15707 0.44
27384 20.07394 1.32031 0.75150 0.05850 0.38612 0.16539 0.38
16383 14.73000 2.93030 1.03907 0.02411 0.57292 0.22480 0.49
26951 19.55339 1.31768 0.80176 0.06349 0.42141 0.17813 0.40
24495 19.72679 1.25921 0.78414 0.06202 0.39661 0.17187 0.37
27367 20.66737 1.08938 0.71658 0.05255 0.37093 0.15292 0.43
22914 15.08261 2.92704 1.03829 0.02400 0.55245 0.22682 0.49
6848 18.91831 1.32796 0.86746 0.06647 0.48555 0.19331 0.49
8013 19.92869 1.12867 0.76499 0.05942 0.38199 0.16143 0.36
7128 20.34196 1.27394 0.72852 0.05464 0.37687 0.15747 0.39
16730 17.67063 2.91305 0.99060 0.07475 0.53303 0.19426 0.50
23018 17.76228 2.91806 0.98261 0.07961 0.54133 0.19561 0.50
8586 19.39491 1.30904 0.81799 0.06414 0.42778 0.19156 0.41
8015 20.24517 1.05254 0.73907 0.05543 0.36394 0.15600 0.40
8074 15.58006 1.45759 1.03609 0.02431 0.59665 0.23564 0.45
27124 17.22269 2.86443 1.01796 0.04767 0.52688 0.21178 0.50
22985 17.55809 2.85994 1.00010 0.06694 0.52846 0.19650 0.50
16759 17.76204 2.87882 0.98242 0.07902 0.54080 0.19500 0.50
7638 16.39286 1.45451 1.03152 0.02622 0.55711 0.22929 0.45
25681 16.05281 1.45329 1.03402 0.02464 0.58393 0.22014 0.45
7207 16.39121 1.45622 1.03153 0.02622 0.55693 0.22893 0.45
16635 16.82139 1.45843 1.02528 0.03236 0.56168 0.22111 0.45
24286 16.82974 1.45590 1.02509 0.03261 0.56099 0.22213 0.45
