# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
4403 13.05704 2.15273 0.82487 0.01963 0.47672 0.19518 0.47
3928 17.37019 1.54095 0.82067 0.01900 0.44847 0.18689 0.47
4523 17.80095 1.44485 0.81931 0.01868 0.46449 0.19324 0.47
4437 16.10856 1.06888 0.82434 0.01907 0.47643 0.18731 0.49
4817 17.79732 1.46059 0.81932 0.01868 0.46122 0.19220 0.46
4341 15.93438 1.68992 0.82741 0.02317 0.48006 0.19241 0.47
3867 18.39212 1.32263 0.81657 0.01841 0.48961 0.18789 0.51
5501 18.39419 1.57636 0.81720 0.01923 0.43324 0.17558 0.47
4924 16.76911 1.36111 0.82203 0.01927 0.45848 0.17570 0.49
5530 15.94815 1.69316 0.82757 0.02331 0.47785 0.19321 0.47
4659 16.86190 1.05557 0.82183 0.01862 0.46113 0.18365 0.50
3788 17.43462 1.65703 0.82346 0.02288 0.45636 0.18538 0.49
5083 18.06761 1.45037 0.81831 0.01850 0.47536 0.18398 0.47
5013 16.60782 0.86913 0.82321 0.01877 0.44594 0.18529 0.50
5041 17.29060 1.38007 0.82067 0.01874 0.47145 0.19191 0.49
3755 18.20929 1.47934 0.81772 0.01848 0.46645 0.18183 0.47
4444 16.20860 1.52813 0.82344 0.01953 0.47520 0.17778 0.46
4397 18.11387 1.20693 0.81795 0.01846 0.51755 0.19277 0.52
4458 18.39541 1.41441 0.81666 0.01840 0.46312 0.18203 0.49
5486 17.60850 1.40094 0.81984 0.01861 0.46844 0.19703 0.49
5004 18.05995 1.31468 0.81827 0.01850 0.50473 0.18849 0.50
5011 18.21456 1.53256 0.81773 0.01847 0.45716 0.17754 0.47
3706 16.06046 1.89191 0.83344 0.02766 0.47878 0.19764 0.49
4797 16.58598 1.78783 0.83299 0.02824 0.47372 0.17377 0.50
3970 17.49245 1.45448 0.82019 0.01871 0.46405 0.19385 0.47
3967 16.08908 1.02681 0.82436 0.01908 0.47937 0.18673 0.50
4858 18.33245 1.20650 0.81677 0.01840 0.52901 0.19165 0.53
4412 16.97799 1.45596 0.82157 0.01927 0.45625 0.18250 0.47
3754 16.80225 1.17298 0.82190 0.01875 0.46361 0.17931 0.50
4455 18.36467 1.54857 0.81700 0.01853 0.44467 0.17906 0.47
3986 16.47483 1.50698 0.82304 0.01963 0.47260 0.17431 0.47
4923 16.74178 1.45962 0.82228 0.01958 0.45354 0.17581 0.47
4997 17.53256 1.45460 0.82006 0.01863 0.45795 0.19755 0.47
4475 17.38622 1.69872 0.82825 0.02760 0.45524 0.18362 0.50
4477 18.47437 1.47984 0.81620 0.01843 0.43447 0.17257 0.47
4737 17.93389 1.15958 0.81872 0.01853 0.50170 0.19607 0.51
4927 16.99201 1.34734 0.82134 0.01887 0.45631 0.18538 0.49
4009 17.33806 1.33284 0.82055 0.01872 0.47471 0.19332 0.50
4349 18.04664 1.44248 0.81845 0.01863 0.47470 0.18654 0.47
5023 17.33571 1.36938 0.82056 0.01873 0.47411 0.19399 0.49
5476 15.71225 1.36107 0.82423 0.01925 0.49482 0.19819 0.49
4854 18.08470 1.38740 0.81821 0.01849 0.49571 0.18680 0.49
4802 18.24936 1.34305 0.81739 0.01846 0.49100 0.18600 0.51
3728 17.56037 1.51179 0.82011 0.01889 0.45519 0.19444 0.46
3889 15.88647 1.90220 0.83291 0.02702 0.48875 0.19824 0.48
4727 15.74613 1.71008 0.82765 0.02278 0.49206 0.19861 0.48
3715 17.66953 0.49119 0.81935 0.01856 0.51435 0.20036 0.50
4921 18.00591 1.24844 0.81847 0.01853 0.49948 0.19248 0.51
5499 17.70920 1.26729 0.81953 0.01859 0.48464 0.19853 0.50
4979 17.68106 1.20026 0.81959 0.01860 0.48575 0.19751 0.50
3934 17.84672 1.68929 0.82626 0.02725 0.44310 0.18507 0.49
4432 18.25798 1.39197 0.81738 0.01846 0.47702 0.18466 0.49
4350 17.79513 1.50545 0.81934 0.01868 0.45018 0.18967 0.46
4942 18.02519 1.61127 0.81942 0.01999 0.45259 0.18120 0.48
3795 17.99505 1.07174 0.81838 0.01854 0.51565 0.19645 0.51
4932 18.31670 1.36298 0.81707 0.01845 0.47964 0.19119 0.51
3624 18.17237 1.67149 0.82325 0.02608 0.45422 0.18217 0.49
4794 18.50999 1.32027 0.81569 0.01840 0.48588 0.17952 0.52
4474 17.74353 1.35925 0.81944 0.01858 0.47355 0.19658 0.50
4667 17.75220 1.32621 0.81940 0.01858 0.48124 0.19646 0.50
4959 17.92854 1.20130 0.81875 0.01853 0.49679 0.19587 0.51
4740 17.84865 1.30486 0.81913 0.01867 0.48490 0.19397 0.50
4975 18.40040 0.70508 0.81489 0.01833 0.57986 0.18618 0.52
3895 14.34155 0.91410 0.82664 0.02033 0.47446 0.18530 0.49
3904 12.73409 2.25465 0.82475 0.01950 0.47894 0.19551 0.47
3813 13.35208 1.50486 0.82541 0.01993 0.47953 0.19763 0.48
5539 14.21961 0.83118 0.82658 0.02025 0.47183 0.18625 0.49
4742 17.62033 0.81017 0.81967 0.01860 0.50291 0.20086 0.50
4457 17.83526 0.62061 0.81877 0.01855 0.52423 0.20216 0.50
5010 17.12802 2.24218 0.83636 0.03222 0.45109 0.18165 0.49
4436 17.30633 0.58950 0.82069 0.01849 0.48906 0.19580 0.50
3933 17.30186 0.72042 0.82063 0.01856 0.49041 0.19435 0.50
4516 17.30407 0.71741 0.82063 0.01856 0.48931 0.19474 0.50
5482 17.25501 0.64168 0.82085 0.01850 0.48833 0.19283 0.50
3866 17.58596 2.25833 0.83734 0.03439 0.44198 0.18397 0.49
