EDR3Name RA DEC Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag BP-RP e_Gmag e_BP-RP sel memb_probs
20 272.6397428 -31.82648839 0.523292413 0.58221996 -5.663357075 0.59258157 -4.330866728 0.44063354 19.821136 0.5799141 0.005761809 0.032599125 -1 0.0
21 272.6438377 -31.82080168 -0.747054594 0.41734168 -3.342587947 0.51394904 -2.892372942 0.36042243 19.404284 1.5713482 0.004537581 0.061969052 -1 0.0
22 272.6443161 -31.81954947 0.429025182 0.45227852 2.689867474 0.4938375 -4.388603151 0.3225539 19.341433 1.3386097 0.004295807 0.062949096 -1 0.0
23 272.6505821 -31.81649789 0.274732795 0.06499975 0.589597719 0.06952237 -5.393275718 0.048666738 16.575472 1.1503153 0.000746233 0.004888849 -1 0.0
24 272.6555397 -31.80753277 -0.73181026 0.13720171 -3.21049787 0.14055116 -5.904209615 0.10229305 17.057604 1.6746845 0.003557807 0.009319103 -1 0.0
25 272.6543887 -31.81237304 0.140285131 0.18812436 -3.329064759 0.19004467 -2.938215198 0.14150366 18.439737 1.5996513 0.001742518 0.02418349 -1 0.0
26 272.653627 -31.81142037 0.736407037 0.2709409 -3.953848302 0.28171846 -0.679718617 0.2063782 18.99717 1.3266315 0.003945497 0.044515697 -1 0.0
27 272.655879 -31.81103647 0.110129931 0.14554103 -1.971756281 0.16194618 -8.90669352 0.11678039 17.76332 1.6015491 0.00160252 0.018615543 -1 0.0
28 272.6515788 -31.81709783 -0.609245567 0.41556472 -1.955323398 0.44258526 -3.74320265 0.29829052 19.030603 1.5079403 0.003819245 0.035038258 -1 0.0
29 272.6518486 -31.81290426 0.291460181 0.26518756 2.363180479 0.25666323 -3.880700747 0.19457044 18.817743 1.3362942 0.003990342 0.033750223 -1 0.0
30 272.6523676 -31.81595116 0.228307626 0.22821826 -3.728697354 0.24332723 -2.993273998 0.18362167 18.77224 1.4342976 0.002288277 0.038654856 -1 0.0
31 272.6521612 -31.81138624 1.507130567 0.4091499 -0.190892259 0.42741454 -11.5703102 0.31157553 18.97724 1.5404911 0.006251935 0.037390715 -1 0.0
32 272.6564581 -31.80863335 -0.453839825 0.555794 -3.350021186 0.6571965 -6.308601508 0.4745503 19.747469 1.3706894 0.005513606 0.074240706 -1 0.0
33 272.6567716 -31.80741624 -0.487463852 0.5192492 0.000549257 0.5970718 -6.681999819 0.37514704 19.674036 1.7491951 0.005427491 0.085722127 -1 0.0
34 272.6599168 -31.80669528 1.238319793 0.83408666 -4.047408728 1.3557218 -3.154017386 1.2754003 19.978937 2.2077198 0.008237491 0.378790225 -1 0.0
35 272.6508164 -31.81392244 -0.005177563 0.31659135 -4.559061572 0.28586808 -5.52672348 0.23826176 18.848896 1.8470364 0.003012229 0.019408862 -1 0.0
36 272.6535455 -31.81032566 1.156283254 0.42815125 -3.983620047 0.4267401 -4.938059692 0.3290542 19.325846 1.3922997 0.004421737 0.08909578 -1 0.0
37 272.6565209 -31.81148213 -0.069540136 0.15644929 -1.085493363 0.16501239 -8.828345306 0.11911243 17.969599 1.7750225 0.002060628 0.009519767 -1 0.0
38 272.6577744 -31.80910348 0.038082998 0.37183368 1.400673998 0.3474453 -4.861133682 0.2897774 19.097752 1.477335 0.004374294 0.04382215 -1 0.0
39 272.6528976 -31.81340449 0.916916797 0.30822408 -0.35337926 0.31646508 -1.626473379 0.22750577 18.688297 1.5210686 0.003498266 0.016102687 -1 0.0
40 272.6588102 -31.80783711 -0.264689647 0.39372006 -5.417934514 0.4293062 -7.748168961 0.32210028 19.075947 1.4035015 0.004132769 0.034958883 -1 0.0
41 272.6512469 -31.8143611 0.360624307 0.17380485 0.23333615 0.17896783 -2.367359385 0.12549926 15.517158 1.850522 0.002575429 0.002083715 -1 0.0
42 272.652296 -31.81246174 0.632173751 0.23673783 -0.489344495 0.26100767 -4.154444704 0.19059557 18.682922 1.1703396 0.002365252 0.029141739 -1 0.0
43 272.6586608 -31.80529226 -0.343232233 0.4625493 -2.251269123 0.5452862 -6.706436456 0.43645543 19.37062 1.4278507 0.00695548 0.090989 -1 0.0
