source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4041577900778259840,267.72704784794416,-34.62690225826276,0.42615220548566546,0.20862985,0.8805926776658054,0.20189562,0.1251251174469336,0.13541913,0.91427374,336.78537,18.488218,8.244461,9.266677,1.3085289,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778314112,267.72042726913,-34.62998343571853,,,,,,,,96.55979,19.663652,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778315904,267.72229317049323,-34.62846810370165,1.569692716817444,1.1626515,-1.4473698714257783,1.073765,-8.566394946223213,0.79309016,2.332926,133.22539,19.404373,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778316032,267.7223277501952,-34.628882086921166,0.10299138491812154,0.2983443,-4.883745490148595,0.32059702,-6.889292372316795,0.20301206,0.9859661,344.49484,19.117964,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778316544,267.7224216914104,-34.63009945493792,,,,,,,,46.548126,19.682259,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778318592,267.7238639447392,-34.63063416361467,,,,,,,,60.03384,19.407755,5.4614496,13.108438,1.5777187,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778319744,267.72421066255794,-34.63093990623243,4.541104587943904,0.90007305,-5.0198946088418825,0.9724626,-6.243047876797021,0.6485038,1.31179,115.421196,19.654417,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778321024,267.72478425972525,-34.626279010185655,,,,,,,,57.083206,19.9429,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778321792,267.72549994159664,-34.627863422329916,,,,,,,,28.123528,19.67103,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778323968,267.72670944166043,-34.63000726093283,,,,,,,,77.80531,19.975512,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
